id;name;tags;description;nbr_music;author;image_url
1;au-dessus;collègue jadis recouvrir;grandement terriblement;5413;âcre nonobstant;du moment que quand
2;adversaire;grâce à en face de;au cas où multiple revivre;32226;sombrer de crainte que;tant envers
3;direction clac tant;fourbe blablabla;police cocorico;17741;ha ha toc;clac aujourd'hui maintenant
4;tsoin-tsoin sous;d’autant que outre extra;avare rédaction;24976;résister tchou tchouu fonder;collègue collègue hier
5;au-dessus de désagréable;géométrique;cot cot;17497;commis de cuisine électorat à force de;ici entraîner
6;précisément;pallier;hors;21333;clientèle insuffisamment membre du personnel;du moment que tant terne
7;tard lectorat responsable;de sorte que grandement miam;main-d’œuvre à partir de;12567;ci oh;police économiser renouveler
8;crac ha;imprimer d'après;vivace de peur que gouverner;628;passager;fusiller tic-tac que
9;reculer hé bondir;coupable;retourner;5756;diététiste au point que autrefois;oh
10;miaou derrière filer;plic;cocorico;18328;au moyen de membre du personnel tôt;malade
