id;title;duration;paroles;created_at;updated_at
1;vite incarner moquer;30049;affable hôte chef de cuisine;2024-09-04T17:46:04;2024-09-04T16:15:42
2;tchou tchouu absorber;20175;mal turquoise autrefois;2024-09-04T10:16:19;2024-09-04T15:37:49
3;si bien que présidence partager;29212;chef de cuisine;2024-09-04T18:31:06;2024-09-05T08:25:54
4;asseoir consulter hôte;7774;badaboum;2024-09-04T20:36:08;2024-09-05T04:15:46
5;secours;25387;derrière de manière à ce que ha;2024-09-05T07:59:53;2024-09-04T14:08:37
6;fonctionnaire;19586;hormis sincère pin-pon;2024-09-04T21:46:03;2024-09-05T08:24:14
7;puisque jusqu’à ce que;10934;biathlète vlan;2024-09-05T05:01:51;2024-09-05T09:19:00
8;minuscule triathlète;14461;pourvu que dorénavant;2024-09-05T04:01:20;2024-09-04T16:40:09
9;à l'égard de;8251;parce que au défaut de considérable;2024-09-04T11:45:30;2024-09-04T23:51:02
10;en decà de vers ainsi;13746;rudement;2024-09-05T05:22:55;2024-09-05T04:44:57
